[10:25:39] sensibilidad de las conclusiones a los parámetros estimados
    k_ripple=5e+06      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.8 us, kurt 97, e 0.168)
    k_ripple=1e+07      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.8 us, kurt 97, e 0.168)
    k_ripple=3e+07      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.8 us, kurt 96, e 0.168)
    k_ripple=1e+08      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.7 us, kurt 95, e 0.166)
    k_ripple=3e+08      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.5 us, kurt 91, e 0.163)
    k_shoulder=2e+09      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 3.0 us, kurt 100, e 0.172)
    k_shoulder=6e+09      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.9 us, kurt 99, e 0.170)
    k_shoulder=2e+10      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.8 us, kurt 96, e 0.168)
    k_shoulder=6e+10      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 3.0 us, kurt 97, e 0.170)
    k_shoulder=2e+11      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 3.2 us, kurt 96, e 0.171)
    c_slide x=0          tc1_mon=False kurt_mon=True e_mon=False (rangos: tc1 0.3 us, kurt 16, e 0.005)
    c_slide x=0.25       tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 1.0 us, kurt 116, e 0.052)
    c_slide x=1          tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.8 us, kurt 96, e 0.168)
    c_slide x=4          tc1_mon=False kurt_mon=True e_mon=True (rangos: tc1 3.8 us, kurt 91, e 0.347)
    land_width=0.002      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.6 us, kurt 97, e 0.167)
    land_width=0.0035     tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.6 us, kurt 96, e 0.166)
    land_width=0.005      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.8 us, kurt 96, e 0.168)
    land_width=0.008      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 3.0 us, kurt 96, e 0.172)
    land_width=0.012      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 1.5 us, kurt 94, e 0.160)
    zeta=0.005      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.8 us, kurt 98, e 0.164)
    zeta=0.012      tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.8 us, kurt 98, e 0.164)
    zeta=0.03       tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.7 us, kurt 96, e 0.163)
    zeta=0.06       tc1_mon=True kurt_mon=True e_mon=True (rangos: tc1 2.7 us, kurt 91, e 0.162)
  -> sensitivity.json (36 kB)
[10:28:17] total 157.7 s
